accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,subset,seed,n_features
0.5176540109321909,0.0,0.0,0.0,0.35793352772941184,0.4140167794611058,0.43697314231254114,0.09421723771673096,0.6920732162833231,LightGBM,ENG_MM_full,42,119
0.5176540109321909,0.0,0.0,0.0,0.34313443791213016,0.42718089005319826,0.4514168477303337,0.05488837244159461,0.7630221696839403,XGBoost,ENG_MM_full,42,119
0.8521986970684039,0.0,0.0,0.0,0.44233212439734176,0.14658867835715733,0.1381316423137876,0.09009014365344183,0.6815828725427946,RandomForest,ENG_MM_full,43,119
0.8521986970684039,0.0,0.0,0.0,0.28216315963351535,0.0971778362393853,0.14214269422884898,0.1268066203186367,0.42602627002856785,LightGBM,ENG_MM_full,43,119
0.8521986970684039,0.0,0.0,0.0,0.2837375486832009,0.10139873752647,0.13597379722012354,0.10408828452850061,0.5101259518645558,XGBoost,ENG_MM_full,43,119
0.7941415785191213,0.0,0.0,0.0,0.4534017338387439,0.1745301407992645,0.1977783553338787,0.27036646067166215,0.7604979646360885,RandomForest,ENG_MM_full,44,119
0.7941415785191213,0.0,0.0,0.0,0.4601809254339546,0.17676319873550758,0.1824418524407328,0.32262031910719735,0.7375266792654513,LightGBM,ENG_MM_full,44,119
0.7618660157309466,0.0,0.0,0.0,0.41451697345875005,0.1643875026071838,0.19083313122524478,0.30528951392369724,0.6872229460895445,XGBoost,ENG_MM_full,44,119
0.8716807123549054,0.0,0.0,0.0,0.17241285776091814,0.0760402500098788,0.11719992384002498,0.011001952092735629,0.5473314276303407,RandomForest,ENG_MM_full,45,119
0.8716807123549054,0.0,0.0,0.0,0.31926566476204427,0.08810380953721034,0.11996981641759182,0.12718634977576354,0.5293512606770703,LightGBM,ENG_MM_full,45,119
0.8716807123549054,0.0,0.0,0.0,0.3068831326766387,0.08639512631590496,0.12095014835969806,0.09465225909508501,0.5439893892339545,XGBoost,ENG_MM_full,45,119
0.8142586021949005,0.3207145895363675,0.5355113636363636,0.401170524075552,0.7853879640514001,0.3792404954915913,0.12396702042330716,0.47777874414786303,0.9278972308517273,RandomForest,ENG_MM_full,46,119
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.613626284787941,0.13399063173451892,0.32391943256843747,0.2799713255293857,0.8657407543050819,LightGBM,ENG_MM_full,46,119
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.6598210951358416,0.1540518611780035,0.28359516705410664,0.3104468361641681,0.8993083942274704,XGBoost,ENG_MM_full,46,119
