threshold,input_length_days,washout_days,algo,subset,n_features,n_train,n_val,n_test,train_positive,val_positive,test_positive,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
3,7,7,rf,peakflow_only,131,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.7623762376237624,0.016129032258064516,0.04383473410369068,0.9865591397849462,0.0,0.0,0.0,0.23651226158038147,0.011098143402229218,0.07825574009290633
3,7,7,rf,environment_only,171,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.24752475247524752,0.006493506493506494,0.03409141875277521,0.9865591397849462,0.0,0.0,0.0,0.4043596730245232,0.025392096402715662,0.035817944525929256
3,7,7,rf,no_smartwatch,270,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.24257425742574257,0.0064516129032258064,0.03509665323614792,0.9865591397849462,0.0,0.0,0.0,0.373841961852861,0.012387627753463852,0.054349820120943707
3,7,7,rf,no_smartinhaler,400,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.5643564356435643,0.011111111111111112,0.039298100713005234,0.9865591397849462,0.0,0.0,0.0,0.42397820163487737,0.030343054500641536,0.0408386093027296
3,7,7,rf,no_peakflow,355,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.5445544554455446,0.010638297872340425,0.03844883499528104,0.9865591397849462,0.0,0.0,0.0,0.5711171662125342,0.0803259102156239,0.029547746601927286
3,7,7,rf,no_environment,315,777,203,372,49,1,5,0.9950738916256158,0.0,0.0,0.0,0.24257425742574257,0.006369426751592357,0.03864465543194667,0.9865591397849462,0.0,0.0,0.0,0.4991825613079019,0.015808502576780736,0.05633487275734937
3,14,7,xgb,all,427,665,184,338,48,1,4,0.4945652173913043,0.010638297872340425,1.0,0.021052631578947368,0.7486338797814207,0.02127659574468085,0.36678327477940426,0.8757396449704142,0.0,0.0,0.0,0.5568862275449101,0.015816313317084402,0.09431551846264508
3,14,7,xgb,smartwatch_only,216,665,184,338,48,1,4,0.9891304347826086,0.0,0.0,0.0,0.005464480874316946,0.00546448087431694,0.0276365878616591,0.9585798816568047,0.14285714285714285,0.5,0.2222222222222222,0.8046407185628743,0.09268648018648018,0.037629452334844334
3,14,7,xgb,smartinhaler_only,86,665,184,338,48,1,4,0.9836956521739131,0.0,0.0,0.0,0.9289617486338798,0.047619047619047616,0.009382254512630965,0.8727810650887574,0.024390243902439025,0.25,0.044444444444444446,0.532185628742515,0.030185565587814725,0.09702391336112923
3,14,7,xgb,peakflow_only,131,665,184,338,48,1,4,0.34782608695652173,0.0,0.0,0.0,0.021857923497267784,0.005434782608695652,0.3934236465103646,0.4349112426035503,0.005291005291005291,0.25,0.010362694300518135,0.24700598802395207,0.012247468475136893,0.40689873699150025
3,14,7,xgb,environment_only,171,665,184,338,48,1,4,0.7282608695652174,0.0,0.0,0.0,0.4426229508196722,0.009708737864077669,0.19737327749103847,0.8461538461538461,0.0,0.0,0.0,0.3383233532934131,0.010627538990892551,0.10734484342353064
3,14,7,xgb,no_smartwatch,270,665,184,338,48,1,4,0.625,0.0,0.0,0.0,0.28415300546448086,0.007575757575757576,0.24454273499093482,0.8106508875739645,0.0,0.0,0.0,0.3824850299401198,0.011344424463697409,0.1395795515480334
3,14,7,xgb,no_smartinhaler,400,665,184,338,48,1,4,0.483695652173913,0.0,0.0,0.0,0.43715846994535523,0.009615384615384616,0.3745903869116815,0.8757396449704142,0.0,0.0,0.0,0.5112275449101796,0.014405205672806471,0.09971496038694619
3,14,7,xgb,no_peakflow,355,665,184,338,48,1,4,0.4673913043478261,0.0,0.0,0.0,0.4590163934426229,0.01,0.3735131542899857,0.9349112426035503,0.0,0.0,0.0,0.6758982035928144,0.027744672615409686,0.05052732379009044
3,14,7,xgb,no_environment,315,665,184,338,48,1,4,0.9565217391304348,0.0,0.0,0.0,0.0,0.005434782608695652,0.031989852099249025,0.878698224852071,0.0,0.0,0.0,0.6070359281437125,0.018287379490833464,0.09323180428997674
3,14,14,rf,all,427,616,184,324,48,1,4,0.9402173913043478,0.0,0.0,0.0,0.7486338797814207,0.02127659574468085,0.14001135999694297,0.9567901234567902,0.0,0.0,0.0,0.80859375,0.039169667735150536,0.10894194466662015
3,14,14,rf,smartwatch_only,216,616,184,324,48,1,4,0.9891304347826086,0.0,0.0,0.0,0.0,0.005434782608695652,0.10411683625910134,0.9660493827160493,0.1111111111111111,0.25,0.15384615384615385,0.8890625,0.1660190615835777,0.07219943526901548
3,14,14,rf,smartinhaler_only,86,616,184,324,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.13114754098360654,0.005988023952095809,0.08553418892529586,0.9753086419753086,0.16666666666666666,0.25,0.2,0.7453125,0.06180230430061582,0.10805510883812917
3,14,14,rf,peakflow_only,131,616,184,324,48,1,4,0.9782608695652174,0.0,0.0,0.0,0.06010928961748635,0.005649717514124294,0.15035654128921436,0.39197530864197533,0.005128205128205128,0.25,0.010050251256281407,0.303125,0.01605443066226158,0.27195432796664015
3,14,14,rf,environment_only,171,616,184,324,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.20218579234972678,0.006802721088435374,0.12170574595993335,0.9876543209876543,0.0,0.0,0.0,0.7203124999999999,0.02932115401772438,0.08177504865680991
3,14,14,rf,no_smartwatch,270,616,184,324,48,1,4,0.9945652173913043,0.0,0.0,0.0,0.2404371584699454,0.007142857142857143,0.13420010297195178,0.9012345679012346,0.03333333333333333,0.25,0.058823529411764705,0.44062500000000004,0.02415000699376933,0.1456617098832086
