threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.762089456830706,0.3271889400921659,0.006802721088435374,1.0,0.013513513513513514,0.5787037037037037,0.01020408163265306,0.26134692548319943,0.9921465968586387,0.0,0.0,0.0,0.9164467897977132,0.20543345543345543,0.007802595679252934
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,1.0675566281591142,0.05069124423963134,0.004830917874396135,1.0,0.009615384615384616,0.1111111111111111,0.005025125628140704,0.4061604246667083,0.9921465968586387,0.0,0.0,0.0,0.5426561125769569,0.010981387436034336,0.0078027034185995
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,1.0675566281591142,0.05069124423963134,0.004830917874396135,1.0,0.009615384615384616,0.1111111111111111,0.005025125628140704,0.4061604246667083,0.9921465968586387,0.0,0.0,0.0,0.5426561125769569,0.010981387436034336,0.0078027034185995
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.8177527189254761,0.04608294930875576,0.004807692307692308,1.0,0.009569377990430622,0.1435185185185185,0.005208333333333333,0.2890683780295239,0.9921465968586387,0.0,0.0,0.0,0.6297273526824978,0.015205103175864338,0.00780273101008501
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.8123130372592381,0.06451612903225806,0.004901960784313725,1.0,0.00975609756097561,0.1435185185185185,0.005208333333333333,0.2862894550487442,0.9921465968586387,0.0,0.0,0.0,0.6147757255936674,0.014392127878498036,0.007802723726140854
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.6068810820579529,0.7880184331797235,0.0,0.0,0.0,0.6296296296296297,0.011494252873563218,0.18203396424841145,0.9921465968586387,0.0,0.0,0.0,0.7713280562884783,0.07997125685915861,0.007801707839671151
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.6068810820579529,0.7880184331797235,0.0,0.0,0.0,0.6296296296296297,0.011494252873563218,0.18203396424841145,0.9921465968586387,0.0,0.0,0.0,0.7713280562884783,0.07997125685915861,0.007801707839671151
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.9499687211854118,0.3686635944700461,0.0,0.0,0.0,0.27546296296296297,0.006134969325153374,0.3378490877557107,0.9921465968586387,0.0,0.0,0.0,0.4714160070360598,0.01957354958444283,0.0078023567550601575
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.923121588570731,0.391705069124424,0.0,0.0,0.0,0.25462962962962965,0.005952380952380952,0.32508000650138535,0.9921465968586387,0.0,0.0,0.0,0.4415127528583993,0.014726856200088456,0.00780255739491381
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.9217924220221383,0.2764976958525346,0.006329113924050633,1.0,0.012578616352201259,0.37962962962962965,0.0070921985815602835,0.3360632869850218,0.9921465968586387,0.0,0.0,0.0,0.48636763412489004,0.00980294750786554,0.007802626168942398
