threshold,input_length_days,washout_days,algo,shuffle,n_train,n_val,train_positive_after_shuffle,val_positive_after_shuffle,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier
2,3,7,rf,3,867,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.10185185185185186,0.005128205128205128,0.06970511367820635
2,3,7,rf,4,867,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.837962962962963,0.027777777777777776,0.06901176090277557
4,14,14,xgb,0,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.14754098360655743,0.006369426751592357,0.011892197443288278
4,14,14,xgb,1,622,184,50,1,0.9728260869565217,0.0,0.0,0.0,0.3387978142076503,0.00819672131147541,0.02708955375666788
4,14,14,xgb,2,622,184,50,1,0.967391304347826,0.0,0.0,0.0,0.2568306010928961,0.0072992700729927005,0.018715729585546338
4,14,14,xgb,3,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.35519125683060104,0.008403361344537815,0.005928493823229985
4,14,14,xgb,4,622,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.5273224043715847,0.011363636363636364,0.0076300530142892455
2,7,0,rf,0,857,203,52,1,0.9901477832512315,0.0,0.0,0.0,0.1188118811881188,0.00558659217877095,0.05722125439301528
2,7,0,rf,1,857,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.13613861386138615,0.005681818181818182,0.04670206425513943
2,7,0,rf,2,857,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.8960396039603961,0.045454545454545456,0.034511062896777404
2,7,0,rf,3,857,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.8415841584158416,0.030303030303030304,0.0842089458839422
2,7,0,rf,4,857,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.0643564356435643,0.005263157894736842,0.049539469364395336
4,7,7,xgb,0,783,203,51,1,0.9704433497536946,0.0,0.0,0.0,0.05940594059405946,0.005235602094240838,0.021685724254258798
4,7,7,xgb,1,783,203,51,1,0.9901477832512315,0.0,0.0,0.0,0.4801980198019802,0.009345794392523364,0.024734557027254786
4,7,7,xgb,2,783,203,51,1,0.9556650246305419,0.0,0.0,0.0,0.49504950495049505,0.009708737864077669,0.05849510426036443
4,7,7,xgb,3,783,203,51,1,0.9507389162561576,0.0,0.0,0.0,0.044554455445544594,0.005154639175257732,0.039735029546245665
4,7,7,xgb,4,783,203,51,1,0.9556650246305419,0.0,0.0,0.0,0.900990099009901,0.047619047619047616,0.043640803382006314
4,3,14,rf,0,789,217,54,1,0.9447004608294931,0.0,0.0,0.0,0.712962962962963,0.015873015873015872,0.034662945766223835
4,3,14,rf,1,789,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.3842592592592593,0.007462686567164179,0.028638758920267987
4,3,14,rf,2,789,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.19444444444444442,0.005714285714285714,0.03460750813346849
4,3,14,rf,3,789,217,54,1,0.9308755760368663,0.0,0.0,0.0,0.5972222222222222,0.011363636363636364,0.043768569293367934
4,3,14,rf,4,789,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.6851851851851851,0.014492753623188406,0.023398158399397764
4,7,7,rf,0,783,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.4257425742574258,0.008547008547008548,0.009740507800301125
4,7,7,rf,1,783,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.4801980198019802,0.009345794392523364,0.009734822534390425
4,7,7,rf,2,783,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.034653465346534684,0.00510204081632653,0.018012647190428117
4,7,7,rf,3,783,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.2722772277227723,0.006756756756756757,0.012351688555717234
4,7,7,rf,4,783,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.7871287128712872,0.022727272727272728,0.01354015053536168
2,7,7,rf,0,773,203,52,1,0.9753694581280788,0.0,0.0,0.0,0.21287128712871284,0.00625,0.025489150934263263
2,7,7,rf,1,773,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.599009900990099,0.012195121951219513,0.02009158717853075
2,7,7,rf,2,773,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.5643564356435644,0.011235955056179775,0.015488605710002889
2,7,7,rf,3,773,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.2821782178217822,0.00684931506849315,0.025415798776498154
2,7,7,rf,4,773,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.3267326732673267,0.0072992700729927005,0.01796072029015952
3,14,14,xgb,0,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.7704918032786885,0.023255813953488372,0.007225192238877214
3,14,14,xgb,1,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.180327868852459,0.006622516556291391,0.008459147038495998
3,14,14,xgb,2,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.8907103825136612,0.047619047619047616,0.006741997198790788
3,14,14,xgb,3,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.45355191256830596,0.009900990099009901,0.005503738581487171
3,14,14,xgb,4,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.7868852459016393,0.025,0.007830999295144012
4,7,0,xgb,0,856,203,51,1,0.9753694581280788,0.0,0.0,0.0,0.6683168316831682,0.014705882352941176,0.030968189275166685
4,7,0,xgb,1,856,203,51,1,0.9556650246305419,0.0,0.0,0.0,0.0866336633663366,0.005376344086021506,0.0346185833834049
4,7,0,xgb,2,856,203,51,1,0.9901477832512315,0.0,0.0,0.0,0.8663366336633663,0.03571428571428571,0.01988088113862066
4,7,0,xgb,3,856,203,51,1,0.9507389162561576,0.0,0.0,0.0,0.707920792079208,0.016666666666666666,0.05970495664910429
4,7,0,xgb,4,856,203,51,1,0.9852216748768473,0.0,0.0,0.0,0.00990099009900991,0.004975124378109453,0.022051564146439665
4,14,14,lr,0,622,184,50,1,0.9347826086956522,0.0,0.0,0.0,0.33333333333333337,0.008130081300813009,0.05738973754158006
4,14,14,lr,1,622,184,50,1,0.44021739130434784,0.009615384615384616,1.0,0.01904761904761905,0.5901639344262295,0.013157894736842105,0.4934972269897272
4,14,14,lr,2,622,184,50,1,0.9891304347826086,0.0,0.0,0.0,0.1912568306010929,0.006711409395973154,0.00906483969915578
4,14,14,lr,3,622,184,50,1,0.9184782608695652,0.0,0.0,0.0,0.7049180327868853,0.01818181818181818,0.0777706333971805
4,14,14,lr,4,622,184,50,1,0.9619565217391305,0.0,0.0,0.0,0.36612021857923494,0.008547008547008548,0.03243574821708872
2,14,0,xgb,0,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.45355191256830596,0.009900990099009901,0.005936746016718407
2,14,0,xgb,1,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,1.0,1.0,0.006265407619947212
2,14,0,xgb,2,713,184,51,1,0.9891304347826086,0.0,0.0,0.0,0.5573770491803278,0.012195121951219513,0.010490887208484538
2,14,0,xgb,3,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.8469945355191257,0.034482758620689655,0.0059996270362230935
2,14,0,xgb,4,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.53551912568306,0.011627906976744186,0.006705863728395193
3,3,7,rf,0,871,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.9351851851851852,0.06666666666666667,0.03422843007510166
3,3,7,rf,1,871,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.24537037037037035,0.006097560975609756,0.025865027657889617
3,3,7,rf,2,871,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.29166666666666663,0.006493506493506494,0.013955284189158213
3,3,7,rf,3,871,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.05555555555555558,0.004878048780487805,0.03696710741608659
3,3,7,rf,4,871,217,53,1,0.9354838709677419,0.0,0.0,0.0,0.43518518518518523,0.008130081300813009,0.04112876159653433
4,14,7,lr,0,671,184,50,1,0.9293478260869565,0.07142857142857142,1.0,0.13333333333333333,0.9398907103825137,0.08333333333333333,0.06680727582175164
4,14,7,lr,1,671,184,50,1,0.5489130434782609,0.011904761904761904,1.0,0.023529411764705882,0.825136612021858,0.030303030303030304,0.42143079564242863
4,14,7,lr,2,671,184,50,1,0.6141304347826086,0.0,0.0,0.0,0.18579234972677594,0.006666666666666667,0.3500141327331558
4,14,7,lr,3,671,184,50,1,0.9728260869565217,0.0,0.0,0.0,0.6120218579234973,0.013888888888888888,0.02843486888023639
4,14,7,lr,4,671,184,50,1,0.875,0.0,0.0,0.0,0.1311475409836066,0.00625,0.11997605686692736
2,7,14,rf,0,716,203,52,1,0.9753694581280788,0.0,0.0,0.0,0.31188118811881194,0.007142857142857143,0.03960467023851367
2,7,14,rf,1,716,203,52,1,0.9950738916256158,0.0,0.0,0.0,0.38613861386138615,0.008,0.05486983086304352
2,7,14,rf,2,716,203,52,1,0.9753694581280788,0.0,0.0,0.0,0.47029702970297027,0.009259259259259259,0.07777727149520633
