algo,threshold,input_length_days,washout_days,v1_best_pr_auc,v1_best_roc_auc,v2_pr_auc,v2_pr_auc_lo95,v2_pr_auc_hi95,v2_roc_auc,v2_roc_auc_lo95,v2_roc_auc_hi95,pr_auc_delta,roc_auc_delta
lr,4,14,7,,,0.018235634533523365,0.006211180124223602,0.06248862775761509,0.541044776119403,0.20716204589749437,0.8554827622860752,,
xgb,3,3,7,,,0.01731072131096982,0.004518741673063518,0.05835771037972529,0.45166240409207165,0.08709549341365043,0.8468213566086721,,
rf,3,3,0,,,0.0168569716597402,0.004613529136318385,0.05175632932405623,0.4992592592592592,0.14291830065359482,0.817426530514406,,
rf,4,3,7,,,0.016768847837697866,0.005405405405405406,0.05099333267183556,0.5214285714285715,0.24145301891237764,0.7867572661654771,,
rf,2,3,7,,,0.0166728618439034,0.003440869771299917,0.07590290429750293,0.5737425404944587,0.25214938074466425,0.9233959888303147,,
lr,3,14,0,,,0.014639704602554524,0.006211180124223602,0.034447538612434325,0.5332369942196532,0.3506720162973268,0.6504262798747866,,
xgb,2,3,0,,,0.014564814067919658,0.003944788521988111,0.055678216520310006,0.6123456790123457,0.36790123456790125,0.8938265131931913,,
xgb,3,7,7,0.364243286752099,0.7416801948051949,0.014305805162209792,0.005278677488837744,0.03480182842302265,0.4604904632152588,0.2594594594594595,0.6610792164112615,-0.3499374815898892,-0.28118973158993604
xgb,4,3,7,,,0.014174945499345813,0.005596328039790192,0.03460092900132532,0.45816326530612245,0.1540551422037556,0.6901785714285714,,
lr,3,7,7,0.364243286752099,0.7416801948051949,0.014144151713051166,0.0053548959048272705,0.030413976833192365,0.46376021798365125,0.35621006536427735,0.5702316076294278,-0.3500991350390478,-0.2779199768215436
xgb,3,7,0,,,0.01404522319420216,0.004400939021562718,0.03861282619482121,0.4351706036745407,0.24694044502617804,0.6876157818772526,,
lr,4,7,14,,,0.013860663125756265,0.005948848256542782,0.03180708733796836,0.42415730337078655,0.19266997167138808,0.6136003357200934,,
rf,3,3,7,,,0.01354157281553765,0.005032893144088954,0.03777698308945788,0.4301790281329923,0.13373842938190508,0.7123078550045555,,
lr,4,7,7,,,0.013473534232350523,0.005819046034504311,0.030531775798940092,0.4358695652173913,0.30645161290322576,0.5968654899573949,,
xgb,3,3,0,,,0.01339386818597172,0.0036101083032490976,0.044415241273814486,0.3876543209876543,0.0805491161982034,0.7436274509803918,,
lr,3,7,14,,,0.012443914454960821,0.005095182595182595,0.02585742097763461,0.3661971830985915,0.25110354527244844,0.4944657750577085,,
