threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,14,0,713,184,348,51,1,2,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,6,1.0114705860614777,0.6141304347826086,0.013888888888888888,1.0,0.0273972602739726,0.9398907103825137,0.08333333333333333,0.2978685234846889,0.9942528735632183,0.0,0.0,0.0,0.5549132947976878,0.011561047222901884,0.005713770557500928
3,7,0,854,203,386,49,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.29253948107361794,0.9211822660098522,0.058823529411764705,1.0,0.1111111111111111,0.948019801980198,0.07692307692307693,0.05668841997988481,0.9870466321243523,0.0,0.0,0.0,0.7606299212598425,0.11168591824285934,0.012836766898590852
2,14,0,713,184,348,51,1,2,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.4596925762792428,0.7934782608695652,0.02564102564102564,1.0,0.05,0.9344262295081968,0.07692307692307693,0.1375515719687465,0.9942528735632183,0.0,0.0,0.0,0.9176300578034682,0.06586270871985157,0.005696135126852688
3,7,0,854,203,386,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,11,0.3059367292693683,0.9359605911330049,0.07142857142857142,1.0,0.13333333333333333,0.943069306930693,0.07142857142857142,0.04946588146222992,0.9870466321243523,0.0,0.0,0.0,0.9065616797900263,0.5032687651331719,0.012809465090457238
3,14,7,665,184,338,48,1,4,72,42,cnn,dropout=0.2,,,0.2,5,0.4355900163451831,0.8260869565217391,0.030303030303030304,1.0,0.058823529411764705,0.9234972677595629,0.06666666666666667,0.1355031548719743,0.9881656804733728,0.0,0.0,0.0,0.5254491017964071,0.023820220916409663,0.011732993228596396
2,14,7,664,184,336,51,1,2,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,6,0.48261178471148014,0.7880434782608695,0.025,1.0,0.04878048780487805,0.9234972677595629,0.06666666666666667,0.1480132955433946,0.9940476190476191,0.0,0.0,0.0,0.902694610778443,0.04290876242095754,0.005894016375790611
3,14,0,710,184,350,48,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,4,0.48642329933742684,0.7663043478260869,0.022727272727272728,1.0,0.044444444444444446,0.9234972677595629,0.06666666666666667,0.14677187139298256,0.9885714285714285,0.0,0.0,0.0,0.9682080924855493,0.6259057971014492,0.01130339497313999
3,7,14,717,203,360,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,12,0.31841822607176645,0.9064039408866995,0.05,1.0,0.09523809523809523,0.9331683168316832,0.0625,0.06566577041485726,0.9861111111111112,0.0,0.0,0.0,0.9126760563380282,0.5993497892835642,0.013722667041787215
2,7,7,773,203,370,52,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,25,0.3574088104069233,0.9605911330049262,0.0,0.0,0.0,0.9282178217821783,0.058823529411764705,0.03565484355801985,0.9918918918918919,0.0,0.0,0.0,0.6557674841053588,0.015227903559892609,0.008052132581089394
2,7,0,857,203,384,52,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,13,0.326154500246048,0.9261083743842364,0.0,0.0,0.0,0.9232673267326733,0.05555555555555555,0.05688569913110555,0.9921875,0.0,0.0,0.0,0.5258092738407698,0.02434862632692657,0.0077552626102362285
