config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
xgb_smartinhaler_T4_L14_W14,79,0.5348200312989045,0.2777577951711162,2.07
xgb_smartinhaler_T4_L14_W14,80,0.7052575762444966,0.1051407087824843,2.08
xgb_smartinhaler_T4_L14_W14,81,0.19465211188760675,0.1453079771010378,2.02
xgb_smartinhaler_T4_L14_W14,82,0.37178739037881464,0.21683640385243852,1.97
xgb_smartinhaler_T4_L14_W14,83,0.40665709422295304,0.16625468772171442,2.01
xgb_smartinhaler_T4_L14_W14,84,0.7046266107747244,0.17326860991280174,2.12
xgb_smartinhaler_T4_L14_W14,85,0.8826641414141414,0.6166105175260593,2.03
xgb_smartinhaler_T4_L14_W14,86,0.36193396915265275,0.1306295684480384,1.95
xgb_smartinhaler_T4_L14_W14,87,0.5716560937584001,0.16713653985526616,1.95
xgb_smartinhaler_T4_L14_W14,88,0.09037384551639331,0.11395600352726463,1.9
xgb_smartinhaler_T4_L14_W14,89,0.5328924031924328,0.14773887377033404,1.91
xgb_smartinhaler_T4_L14_W14,90,0.6773337304646436,0.510685906275139,2.04
xgb_smartinhaler_T4_L14_W14,91,0.32613304093567247,0.12545086453864537,1.91
xgb_smartinhaler_T4_L14_W14,92,0.9221333430735141,0.762561528515991,1.87
xgb_smartinhaler_T4_L14_W14,93,0.6350008334027837,0.280725408866261,2.03
xgb_smartinhaler_T4_L14_W14,94,0.4955917513448894,0.16296932375931494,2.11
xgb_smartinhaler_T4_L14_W14,95,0.5453040205981382,0.30496775595729536,2.4
xgb_smartinhaler_T4_L14_W14,96,0.2504280451738987,0.1642939280170726,2.14
xgb_smartinhaler_T4_L14_W14,97,0.844042813896497,0.4894964912704449,2.0
xgb_smartinhaler_T4_L14_W14,98,0.3072683513838748,0.21584191416134826,1.9
xgb_smartinhaler_T4_L14_W14,99,0.6552182163187856,0.2250813327697343,1.91
xgb_smartinhaler_T4_L14_W14,100,0.5799190001739261,0.2049629740300969,2.0
xgb_smartinhaler_T4_L14_W14,101,0.6736718846296068,0.464456817765066,1.97
xgb_smartinhaler_T4_L14_W14,102,0.3697498168366183,0.1343048087142217,1.84
xgb_smartinhaler_T4_L14_W14,103,0.5749787667742483,0.4336670545554127,1.9
xgb_smartinhaler_T4_L14_W14,104,0.13338613269575617,0.09792224400892303,1.96
