threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
3,7,14,717,203,360,49,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,13,0.3455175698867866,0.9359605911330049,0.0,0.0,0.0,0.9331683168316832,0.0625,0.05193745106672588,0.9861111111111112,0.0,0.0,0.0,0.9312676056338028,0.8078740157480315,0.013742300325971681
2,14,0,713,184,348,51,1,2,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,5,0.4760168145100276,0.8043478260869565,0.02702702702702703,1.0,0.05263157894736842,0.9180327868852459,0.0625,0.14445281921580455,0.9942528735632183,0.0,0.0,0.0,0.9104046242774567,0.060534591194968554,0.0056962378726131205
3,7,14,717,203,360,49,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,16,0.42367331364325117,0.8768472906403941,0.038461538461538464,1.0,0.07407407407407407,0.9257425742574258,0.058823529411764705,0.08981164295154127,0.9861111111111112,0.0,0.0,0.0,0.6214084507042253,0.03320209228800933,0.013759547769957541
4,7,0,856,203,386,51,1,5,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,22,0.3567418786031859,0.9507389162561576,0.0,0.0,0.0,0.9133663366336634,0.05,0.041069565883966236,0.9870466321243523,0.0,0.0,0.0,0.7196850393700788,0.23073806371157968,0.012840947308334473
3,14,0,710,184,350,48,1,4,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,14,0.6920146880050501,0.7391304347826086,0.02040816326530612,1.0,0.04,0.8961748633879781,0.05,0.20620486269796026,0.9885714285714285,0.0,0.0,0.0,0.7059248554913294,0.02282426476465406,0.011338667740683485
3,14,0,710,184,350,48,1,4,72,42,cnn,dropout=0.4,,,0.4,7,0.3359622418259581,0.907608695652174,0.0,0.0,0.0,0.8961748633879781,0.05,0.07002009178045564,0.9885714285714285,0.0,0.0,0.0,0.8901734104046243,0.32659161976235146,0.01132126459453001
4,7,14,723,203,361,51,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,11,0.5517473540135792,0.7931034482758621,0.023255813953488372,1.0,0.045454545454545456,0.9084158415841584,0.047619047619047616,0.1413544737961949,0.9861495844875346,0.0,0.0,0.0,0.8320224719101124,0.15863626715963167,0.013696047776089631
3,14,14,616,184,324,48,1,4,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,4,0.6313422371943792,0.7010869565217391,0.017857142857142856,1.0,0.03508771929824561,0.8907103825136612,0.047619047619047616,0.20649442361654397,0.9876543209876543,0.0,0.0,0.0,0.93828125,0.111685174728653,0.012209718887589807
4,14,7,671,184,339,50,1,4,72,42,cnn,dropout=0.2,,,0.2,5,0.27218501393993694,0.9239130434782609,0.0,0.0,0.0,0.8852459016393442,0.045454545454545456,0.053415257143873095,0.9882005899705014,0.0,0.0,0.0,0.8537313432835821,0.046554341226472375,0.01169989703399991
3,7,7,777,203,372,49,1,5,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,24,0.39004563646657125,0.9014778325123153,0.0,0.0,0.0,0.8886138613861386,0.04,0.0701051027846491,0.9865591397849462,0.0,0.0,0.0,0.7487738419618529,0.07808596838483475,0.013313875857168438
4,7,7,783,203,373,51,1,5,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,27,0.4367933007223265,0.916256157635468,0.0,0.0,0.0,0.8886138613861386,0.04,0.05494390983816947,0.9865951742627346,0.0,0.0,0.0,0.7820652173913044,0.2901984305493078,0.013285694196874961
4,3,0,962,217,410,54,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,23,0.2442095817199775,0.9493087557603687,0.0,0.0,0.0,0.9120370370370371,0.038461538461538464,0.03395241999200328,0.9878048780487805,0.0,0.0,0.0,0.428641975308642,0.012038641403918995,0.012104242452105684
2,7,14,716,203,358,52,1,3,72,42,lstm,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,13,0.44220539182424545,0.8620689655172413,0.034482758620689655,1.0,0.06666666666666667,0.8836633663366337,0.038461538461538464,0.10764572700463668,0.9916201117318436,0.0,0.0,0.0,0.7530516431924883,0.036659544159544165,0.00830645282920723
