threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,26,0.4986050820776394,0.8433179723502304,0.0,0.0,0.0,0.638888888888889,0.011764705882352941,0.1077540108106837,0.9923857868020305,0.0,0.0,0.0,0.8789428815004263,0.03904450669156552,0.007564216373977168
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,25,0.4930794813803264,0.8387096774193549,0.0,0.0,0.0,0.6574074074074074,0.012345679012345678,0.11400799181572827,0.9923857868020305,0.0,0.0,0.0,0.9121909633418585,0.05359014675052411,0.00756437122443979
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.8000289031437465,0.2903225806451613,0.0,0.0,0.0,0.25,0.005917159763313609,0.27907656191069224,0.9921465968586387,0.0,0.0,0.0,0.5013192612137203,0.011660406256771085,0.007802707521903719
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.8000289031437465,0.2903225806451613,0.0,0.0,0.0,0.25,0.005917159763313609,0.27907656191069224,0.9921465968586387,0.0,0.0,0.0,0.5013192612137203,0.011660406256771085,0.007802707521903719
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7445428882326398,0.4055299539170507,0.0,0.0,0.0,0.21759259259259256,0.005681818181818182,0.2516048202983201,0.9921465968586387,0.0,0.0,0.0,0.32365875109938436,0.007397242059759652,0.007802572340285538
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.7435990827424186,0.41935483870967744,0.0,0.0,0.0,0.22685185185185186,0.005747126436781609,0.2511114914657924,0.9921465968586387,0.0,0.0,0.0,0.3227792436235708,0.00739108605742464,0.0078025695932405
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,1,0.897220322063991,0.1336405529953917,0.005291005291005291,1.0,0.010526315789473684,0.18055555555555558,0.005434782608695652,0.32605516921924604,0.9921465968586387,0.0,0.0,0.0,0.7642919964819701,0.09585115316265354,0.00780248502706703
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=1,64.0,1.0,0.4,1,0.897220322063991,0.1336405529953917,0.005291005291005291,1.0,0.010526315789473684,0.18055555555555558,0.005434782608695652,0.32605516921924604,0.9921465968586387,0.0,0.0,0.0,0.7642919964819701,0.09585115316265354,0.00780248502706703
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,1,0.7718115789549691,0.17511520737327188,0.0,0.0,0.0,0.1388888888888889,0.0051813471502590676,0.26521983136142935,0.9921465968586387,0.0,0.0,0.0,0.6781002638522426,0.016242403516646364,0.007802616675476773
2,3,14,783,217,382,55,1,3,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.7702692065920148,0.17972350230414746,0.0,0.0,0.0,0.12962962962962965,0.005128205128205128,0.26444064338732437,0.9921465968586387,0.0,0.0,0.0,0.6824978012313105,0.016515242378810593,0.007802614421279349
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.788024195602962,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.375,0.007042253521126761,0.2724418085497837,0.9921465968586387,0.0,0.0,0.0,0.6218117854001759,0.026231307099474303,0.007802565681227756
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.4;hidden_dim=32;num_layers=1,32.0,1.0,0.4,1,0.788024195602962,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.375,0.007042253521126761,0.2724418085497837,0.9921465968586387,0.0,0.0,0.0,0.6218117854001759,0.026231307099474303,0.007802565681227756
